City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Moussoro,TD,84.96,clear sky,13.6408,16.4901,Hôtel Maltina
205,Katsuura,JP,80.64,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
206,Mahibadhoo,MV,82.58,broken clouds,3.7833,72.9667,Omadhoo Inn
210,Aripuana,BR,75.29,moderate rain,-9.1667,-60.6333,
214,Sembakung,ID,80.53,overcast clouds,3.8167,117.25,
215,Kutum,SD,76.06,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
225,Bam,IR,80.85,clear sky,29.106,58.357,Bam Tourist Hotel
226,Indianola,US,77.58,clear sky,41.3581,-93.5574,Quality Inn Indianola
228,Eyl,SO,78.53,overcast clouds,7.9803,49.8164,Amiin Hotel
229,Mundra,IN,81.64,overcast clouds,22.85,69.7333,Hotel Bansidhar Palace
237,Kavaratti,IN,81.55,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
244,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
248,Balikpapan,ID,83.39,few clouds,-1.2675,116.8289,ibis Balikpapan
250,Languyan,PH,84.85,overcast clouds,5.2618,120.0807,
253,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
254,Mecca,SA,85.03,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
257,Samarai,PG,78.51,overcast clouds,-10.6167,150.6667,Nuli Sapi
265,Labuhan,ID,85.03,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
266,Coahuayana,MX,77.38,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
267,Jardim,BR,87.06,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
268,Faanui,PF,77.83,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
270,Nhulunbuy,AU,86.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
272,Yining,CN,88.63,clear sky,29.0361,114.5636,Xiushui Hotel
278,Sola,VU,79.72,few clouds,-13.8833,167.55,Leumerus Bungalows
279,Vung Tau,VN,80.91,overcast clouds,10.346,107.0843,Green hotel
287,Zabid,YE,86.29,few clouds,14.1951,43.3152,دار الضيافة
289,Rosarito,MX,75.04,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
296,Dingle,PH,84.76,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
302,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
